3.505: a16465.
143.474: a65535.
143.954: a65535.
144.163: a65535.
144.387: a65535.
144.867: a65535.
144.881: rate: samples/block: 353/64
144.882: end
144.900: chkpt[3]=16
144.902: chkpt[6]=2048
145.131: a65535.
145.132: chkpt[36]=0
145.134: chkpt[56]=2048
145.135: start: 
145.612: a3.
145.834: a3.
146.298: a3.
146.538: a3.
147.019: a36.
147.225: a36.
147.433: a36.
147.913: a36.
148.122: a36.
148.616: a36.
148.842: a36.
149.034: a65535.
149.495: a65535.
149.720: a36.
150.202: a65535.
150.424: a65535.
