301.923: a1.
302.387: a1.
302.595: a1.
302.802: a1.
303.284: a1.
303.506: a1.
303.984: a1.
304.195: a1.
304.672: a1.
304.864: a1.
305.075: a1.
305.536: a1.
305.763: a1.
306.223: a1.
306.434: a1.
306.623: a1.
307.086: a1.
307.298: a1.
307.777: a1.
307.998: a1.
308.481: a1.
308.685: a1.
308.894: a1.
309.376: a1.
309.584: a1.
310.061: a1.
310.288: a1.
310.748: a1.
310.940: a1.
311.165: a1.
311.628: a1.
311.854: a1.
312.334: a1.
312.542: a1.
312.731: a1.
313.213: a1.
313.421: a1.
313.882: a1.
314.090: a1.
314.586: a1.
314.778: a1.
314.985: a1.
315.468: a1.
315.689: a1.
316.168: a1.
316.380: a1.
316.856: a1.
317.048: a1.
317.290: a1.
317.754: a1.
317.975: a1.
318.455: a1.
318.663: a1.
318.855: a1.
319.318: a1.
319.542: a1.
320.024: a1.
320.232: a1.
320.709: a1.
320.918: a1.
321.124: a1.
321.592: a1.
321.797: a1.
322.277: a1.
322.500: a1.
322.982: a1.
323.187: a1.
323.395: a1.
323.875: a1.
324.067: a1.
324.547: a1.
324.755: a1.
324.962: a1.
325.427: a1.
325.620: a1.
326.098: a1.
326.293: a1.
326.336: result: 3E
326.337: result: CB
326.337: result: F3
326.338: result: E6
326.339: result: B0
326.340: result: B5
326.341: result: 80
326.342: result: 57
326.342: result: D7
326.343: result: DB
326.343: result: C6
326.351: result: 6B
326.351: result: 31
326.352: end
326.352: chkpt[1]=8
326.368: chkpt[27]=8
326.368: chkpt[93]=8
326.369: chkpt[101]=8
326.384: chkpt[111]=2
326.384: chkpt[112]=0
326.385: start
326.862: a1.
326.863: start
327.089: a112.
327.585: a112.
327.791: a112.
327.982: a112.
328.478: a112.
328.686: a112.
329.149: a112.
329.376: a112.
329.853: a112.
330.045: a112.
330.272: a112.
330.735: a112.
330.957: a112.
331.438: a112.
331.644: a112.
331.836: a112.
332.315: a112.
332.526: a1.
332.986: a1.
333.210: a1.
