6.334: a16465.
127.814: a64.
128.022: a64.
128.023: end
128.023: chkpt[24]=1024
128.037: chkpt[64]=128
128.037: D6 CC E9 B1 EF 04 77 39  ......w9
128.053: F8 01 92 45 5E 96 DE 6A  ...E^..j
128.053: start
128.516: a24.
128.727: a24.
128.900: a64.
129.379: a64.
129.591: a24.
130.067: a24.
130.278: a64.
130.755: a64.
130.947: a64.
131.172: a24.
131.636: a24.
131.826: a64.
132.305: a64.
132.529: a24.
132.722: a24.
133.201: a64.
133.408: a64.
133.426: end
133.427: chkpt[24]=2048
133.428: chkpt[64]=128
133.454: D6 CC E9 B1 EF 04 77 39  ......w9
133.454: F8 01 92 45 5E 96 DE 6A  ...E^..j
133.457: start
133.916: a24.
133.918: D6 CC E9 B1 EF 04 77 39  ......w9
133.933: F8 01 92 45 5E 96 DE 6A  ...E^..j
133.934: start
134.140: a24.
134.606: a24.
134.827: a64.
135.034: a64.
135.498: a24.
135.690: a64.
136.170: a64.
136.397: a64.
136.858: a24.
137.049: a24.
137.273: a64.
137.736: a64.
137.944: a64.
138.424: a24.
138.649: a64.
138.843: a64.
138.843: end
138.876: chkpt[24]=4096
138.878: chkpt[64]=128
138.880: D6 CC E9 B1 EF 04 77 39  ......w9
138.882: F8 01 92 45 5E 96 DE 6A  ...E^..j
138.883: start
139.308: a24.
139.515: a24.
140.000: a64.
140.205: a64.
140.685: a64.
140.878: a24.
141.085: a64.
141.562: a64.
141.769: a24.
142.249: a24.
142.458: a24.
142.666: a64.
143.132: a64.
143.336: a24.
^C> 
_reviewer@chainvm:~/src/edb-console\[reviewer@chainvm edb-console]$ 3.496: a16464.
3.509: start
3.973: a49.
3.974: recovery: 37
4.181: a37.
4.389: a37.
4.868: a37.
5.092: a37.
5.558: a37.
5.781: a37.
6.262: a37.
6.467: a37.
6.691: a37.
7.186: a37.
7.413: a37.
7.874: a37.
8.101: a37.
8.594: a37.
8.785: a37.
8.993: a37.
9.475: a65535.
9.681: a37.
10.161: a65535.
10.387: a65535.
10.864: a65535.
11.088: a65535.
11.281: a37.
11.297: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
11.297: end
11.313: chkpt[37]=0
11.313: start
11.777: a37.
11.999: a37.
12.481: a37.
12.690: a37.
13.167: a37.
13.390: a37.
13.598: a37.
14.065: a37.
14.286: a37.
14.765: a37.
14.975: a37.
15.453: a37.
15.677: a37.
15.887: a37.
16.380: a37.
16.591: a37.
17.068: a37.
17.294: a65535.
17.758: a37.
17.963: a65535.
18.171: a65535.
18.653: a65535.
18.858: a65535.
19.338: a37.
19.365: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
19.366: end
19.366: chkpt[37]=0
19.366: start
19.574: a37.
20.070: a37.
20.262: a37.
20.470: a37.
20.951: a37.
21.173: a37.
21.651: a37.
21.861: a37.
22.342: a37.
22.547: a37.
22.754: a37.
23.237: a37.
23.445: a37.
23.924: a37.
24.145: a37.
24.340: a37.
24.817: a37.
25.027: a65535.
25.488: a37.
25.696: a65535.
26.192: a65535.
26.419: a65535.
26.626: a65535.
27.091: a37.
27.118: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
27.118: end
27.118: chkpt[37]=0
27.118: start
27.324: a65535.
27.804: a37.
28.012: a37.
28.507: a37.
28.718: a37.
28.926: a37.
29.403: a37.
29.626: a37.
30.090: a37.
30.314: a37.
30.793: a37.
30.985: a37.
31.212: a37.
31.675: a37.
31.881: a37.
32.378: a37.
32.584: a37.
33.064: a65535.
33.258: a37.
33.482: a65535.
33.946: a65535.
